Parameter name,Class_name,NPersHybBirthDeathRel_hybminprob,NPersHybBirthDeathRel_b0_sapiens,NPersHybBirthDeathRel_d0_sapiens,NPersHybBirthDeathRel_other_sapiens,NPersHybBirthDeathRel_theta_sapiens,NPersHybBirthDeathRel_this_sapiens,Fertility_interbirth_sapiens,Fertility_max_age_sapiens,Fertility_min_age_sapiens,NPPCap_K_max_sapiens,NPPCap_K_min_sapiens,NPPCap_NPP_max_sapiens,NPPCap_NPP_min_sapiens,NPPCap_coastal_factor_sapiens,NPPCap_coastal_max_latitude_sapiens,NPPCap_coastal_min_latitude_sapiens,NPPCap_efficiency_sapiens,NPPCap_water_factor_sapiens,Navigate_decay_sapiens,Navigate_dist0_sapiens,Navigate_min_dens_sapiens,Navigate_prob0_sapiens,OAD_max_age_sapiens,OAD_uncertainty_sapiens,NPersWeightedMove_prob_sapiens,NPersHybBirthDeathRel_b0_neander,NPersHybBirthDeathRel_d0_neander,NPersHybBirthDeathRel_other_neander,NPersHybBirthDeathRel_theta_neander,NPersHybBirthDeathRel_this_neander,Fertility_interbirth_neander,Fertility_max_age_neander,Fertility_min_age_neander,NPPCap_K_max_neander,NPPCap_K_min_neander,NPPCap_NPP_max_neander,NPPCap_NPP_min_neander,NPPCap_coastal_factor_neander,NPPCap_coastal_max_latitude_neander,NPPCap_coastal_min_latitude_neander,NPPCap_efficiency_neander,NPPCap_water_factor_neander,Navigate_decay_neander,Navigate_dist0_neander,Navigate_min_dens_neander,Navigate_prob0_neander,OAD_max_age_neander,OAD_uncertainty_neander,NPersWeightedMove_prob_neander
default values,NPersOoANavSHybRelPop,,,,neander,,sapiens,,,,,,,,0.3,66,50,1,0.7,-0.001,150,0,0.1,,0.1,,,,sapiens,,neander,,,,,,,,0.3,66,50,1,0.7,-0.001,150,0,0.1,,,
comment,,"a new parameter defining the lowest 
value of the saddle surface; 
A single value only",,,,"should be the same value as 
NpersHybBirthDeathRel_b0_sapiens",,,,,,,,,,,,has no effect,,,,,,,,,,,,"should be the same value as 
NpersHybBirthDeathRel_b0_neander",,,,,,,,,,,,has no effect,,,,,,,,
